,measurement rate,finded,initial state,simulation time,total jumps,total measurements,transition rate
471,0.5,1.0,0.0,192.53993824165408,10.0,96.0,0.1
472,0.5,1.0,0.0,225.1577881852977,17.0,112.0,0.1
473,0.5,1.0,0.0,234.86353697595013,16.0,119.0,0.1
474,0.5,1.0,0.0,598.6540795697224,41.0,297.0,0.1
475,0.5,1.0,0.0,60.3286454457964,7.0,30.0,0.1
476,0.5,1.0,0.0,33.553326512408965,3.0,14.0,0.1
477,0.5,1.0,0.0,669.5864181392161,55.0,303.0,0.1
478,0.5,1.0,0.0,176.11492825198502,11.0,78.0,0.1
479,0.5,1.0,0.0,103.01001169552214,8.0,54.0,0.1
480,0.5,1.0,0.0,40.313857052452846,5.0,21.0,0.1
481,0.5,1.0,0.0,651.7312916506579,44.0,334.0,0.1
482,0.5,1.0,0.0,372.1922432063933,31.0,186.0,0.1
483,0.5,1.0,0.0,131.0869752914783,13.0,67.0,0.1
484,0.5,1.0,0.0,206.22105893928668,15.0,100.0,0.1
485,0.5,1.0,0.0,132.46265760277885,7.0,65.0,0.1
486,0.5,1.0,0.0,107.99913726750908,5.0,58.0,0.1
487,0.5,1.0,0.0,417.5851338906164,24.0,211.0,0.1
488,0.5,1.0,0.0,187.62251718043444,16.0,96.0,0.1
489,0.5,1.0,0.0,513.4784595763405,39.0,247.0,0.1
490,0.5,1.0,0.0,262.44211215057504,17.0,141.0,0.1
491,0.5,1.0,0.0,267.07187995448817,23.0,139.0,0.1
492,0.5,1.0,0.0,349.39796430043265,28.0,184.0,0.1
493,0.5,1.0,0.0,116.58865131676627,10.0,49.0,0.1
494,0.5,1.0,0.0,26.81737417419909,1.0,11.0,0.1
495,0.5,1.0,0.0,101.17586515490252,6.0,55.0,0.1
496,0.5,1.0,0.0,42.05969863052777,4.0,20.0,0.1
497,0.5,1.0,0.0,256.77844490102683,23.0,123.0,0.1
498,0.5,1.0,0.0,18.467037543336613,1.0,2.0,0.1
499,0.5,1.0,0.0,141.68394547241166,11.0,66.0,0.1
500,0.5,1.0,0.0,34.93971328121079,3.0,16.0,0.1
501,0.5,1.0,0.0,240.6750317223846,10.0,126.0,0.1
502,0.5,1.0,0.0,785.6360980725528,60.0,395.0,0.1
503,0.5,1.0,0.0,391.2138937045384,25.0,210.0,0.1
504,0.5,1.0,0.0,230.49930255247685,20.0,132.0,0.1
505,0.5,1.0,0.0,340.9242945463863,24.0,176.0,0.1
506,0.5,1.0,0.0,54.452911004594384,4.0,33.0,0.1
507,0.5,1.0,0.0,26.50433587620548,4.0,10.0,0.1
508,0.5,1.0,0.0,362.612255521818,24.0,214.0,0.1
509,0.5,1.0,0.0,76.0706005645854,4.0,37.0,0.1
510,0.5,1.0,0.0,192.5711501007759,16.0,99.0,0.1
511,0.5,1.0,0.0,116.9907677624688,6.0,61.0,0.1
512,0.5,1.0,0.0,126.62650229475084,9.0,62.0,0.1
